Id,SalePrice
1461,111521.41
1462,119675.36
1463,177961.22
1464,180848.86
1465,198079.97
1466,179302.14
1467,156366.98
1468,157893.19
1469,160724.52
1470,111606.42
1471,187203.94
1472,100186.05
1473,99327.39
1474,135127.33
1475,114646.73
1476,306218.44
1477,202591.98
1478,240764.44
1479,259643.17
1480,457388.66
1481,293927.25
1482,192265.48
1483,158227.77
1484,165233.86
1485,160774.92
1486,196641.81
1487,329157.34
1488,210338.03
1489,174838.12
1490,213287.11
1491,190827.27
1492,104305.34
1493,163532.02
1494,276664.03
1495,258277.97
1496,209624.69
1497,176287.61
1498,146758.12
1499,145326.55
1500,145762.27
1501,158398.98
1502,132813.05
1503,214213.11
1504,210927.86
1505,218793.89
1506,215223.8
1507,269281.84
1508,185251.17
1509,157685.86
1510,141377.81
1511,130760.55
1512,182815.34
1513,171478.55
1514,163328.9
1515,267186.16
1516,126438.19
1517,127615.69
1518,152685.19
1519,179453.58
1520,124079.81
1521,129683.33
1522,189520.58
1523,115800.07
1524,116690.34
1525,102992.42
1526,103421.5
1527,106701.94
1528,116222.97
1529,131154.28
1530,188444.64
1531,152945.83
1532,104186.97
1533,138635.7
1534,112603.375
1535,146135.7
1536,103267.28
1537,83251.94
1538,135161.98
1539,225067.22
1540,170118.45
1541,142156.05
1542,138724.56
1543,175714.83
1544,89562.58
1545,91736.39
1546,116269.86
1547,128728.47
1548,119448.66
1549,97764.23
1550,132393.45
1551,110326.0
1552,150618.23
1553,167578.64
1554,111148.03
1555,181435.06
1556,98355.18
1557,109886.53
1558,90036.68
1559,135077.83
1560,132439.17
1561,177052.69
1562,113870.55
1563,118911.375
1564,144879.17
1565,147812.3
1566,179134.97
1567,85230.31
1568,223591.08
1569,121102.31
1570,124355.945
1571,121954.195
1572,130129.61
1573,178756.05
1574,142937.53
1575,227240.31
1576,212030.02
1577,163299.08
1578,140835.89
1579,124865.984
1580,185315.47
1581,147357.61
1582,109390.47
1583,289777.1
1584,230702.23
1585,138476.61
1586,74654.016
1587,111563.93
1588,131909.06
1589,103261.266
1590,122733.516
1591,115057.23
1592,126324.05
1593,111847.42
1594,201210.39
1595,162034.9
1596,210577.4
1597,207322.14
1598,173088.55
1599,146890.23
1600,162374.52
1601,73669.125
1602,112252.28
1603,92994.695
1604,247088.48
1605,214475.27
1606,147065.48
1607,224090.45
1608,175647.6
1609,160314.27
1610,151431.56
1611,131693.36
1612,160464.22
1613,166347.34
1614,124072.984
1615,107855.17
1616,104250.11
1617,94071.75
1618,111716.195
1619,119127.08
1620,197324.72
1621,131403.1
1622,128017.99
1623,207119.8
1624,217744.58
1625,108123.45
1626,150634.05
1627,177696.48
1628,259581.78
1629,154685.69
1630,399028.47
1631,190360.52
1632,231262.14
1633,157032.9
1634,177165.53
1635,161259.7
1636,146696.33
1637,211252.64
1638,212430.69
1639,201314.8
1640,294097.9
1641,188458.52
1642,203551.1
1643,209428.48
1644,203760.2
1645,238852.02
1646,130054.945
1647,133069.98
1648,129846.836
1649,125318.055
1650,107898.82
1651,111411.445
1652,94170.91
1653,94155.81
1654,140564.86
1655,126151.83
1656,135233.78
1657,140297.58
1658,142083.34
1659,113557.86
1660,138603.14
1661,350329.84
1662,337301.66
1663,311691.34
1664,443542.78
1665,260312.6
1666,239068.81
1667,306350.72
1668,250693.42
1669,211557.45
1670,257275.08
1671,267636.4
1672,381391.12
1673,278282.56
1674,220092.83
1675,190315.36
1676,186517.08
1677,184059.94
1678,432594.88
1679,335763.22
1680,293025.84
1681,206067.95
1682,242540.53
1683,193312.52
1684,165936.8
1685,170885.4
1686,167874.61
1687,159547.08
1688,185775.44
1689,188920.48
1690,174220.42
